,Access Request,Account Compromise,Account Lockout,Active Directory Issue,Backup / Restore Issue,Basic Software Issue,DNS / Network Resolution Issue,Device Performance Issue,Disk Space / Storage Issue,Email Access Issue,File Server Issue,Laptop/Desktop Hardware Issue,MFA / 2FA Issue,Mailbox / Email Sync Issue,Malware / Virus Alert,Network Drive Access Issue,Network Outage / Connectivity Issue,OS / Boot Issue,Password Reset,Peripheral / Docking Issue,Phishing Report,Printer Issue,Security Policy Violation,Server Down / Service Outage,Software Installation Request,Suspicious Login,VM / Infrastructure Issue,VPN Issue,Wi-Fi Connectivity Issue
Access Request,212,0,2,1,0,3,0,0,2,0,0,0,0,0,0,8,0,1,3,2,0,0,1,0,15,0,0,0,0
Account Compromise,11,83,14,3,1,4,0,0,0,0,25,0,3,5,3,0,6,1,16,3,0,0,20,2,0,49,0,1,0
Account Lockout,5,0,194,0,4,3,1,5,0,4,0,0,5,0,3,0,1,0,20,2,0,0,1,0,0,1,0,1,0
Active Directory Issue,33,0,1,193,1,1,0,0,0,0,0,0,0,14,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0
Backup / Restore Issue,26,0,0,2,159,4,0,0,7,2,0,0,0,0,7,0,0,1,4,5,0,0,1,0,4,0,28,0,0
Basic Software Issue,10,0,1,4,5,136,17,4,0,15,0,0,0,3,2,19,1,6,5,5,2,1,2,6,0,0,5,1,0
DNS / Network Resolution Issue,3,0,1,3,8,2,180,1,1,0,31,0,0,4,1,0,0,4,3,1,0,0,1,3,0,0,0,3,0
Device Performance Issue,24,0,1,5,8,3,1,134,7,1,1,18,0,2,0,0,0,27,5,9,1,0,0,1,0,0,2,0,0
Disk Space / Storage Issue,3,0,1,4,17,2,3,3,178,1,0,0,0,5,7,9,0,4,2,6,0,1,1,0,1,0,1,1,0
Email Access Issue,11,0,4,3,6,5,0,2,0,186,0,1,15,0,0,0,0,1,4,2,0,0,3,1,0,0,1,1,4
File Server Issue,3,0,2,1,7,31,22,14,0,0,149,0,0,0,4,0,1,0,4,2,1,1,2,1,1,0,4,0,0
Laptop/Desktop Hardware Issue,14,0,1,0,5,9,4,17,0,0,0,145,0,0,0,0,0,12,1,30,0,0,1,1,3,0,7,0,0
MFA / 2FA Issue,1,0,1,0,14,2,0,0,0,0,0,0,208,0,0,0,0,0,5,0,0,0,0,0,1,0,0,18,0
Mailbox / Email Sync Issue,8,36,2,6,9,5,8,2,0,28,0,0,22,111,0,0,2,4,1,3,1,0,0,0,1,0,0,0,1
Malware / Virus Alert,0,0,6,2,4,6,2,0,1,0,0,0,0,8,155,1,0,3,1,5,1,4,29,1,0,20,0,1,0
Network Drive Access Issue,1,0,1,3,3,1,3,1,1,30,2,0,13,0,0,163,0,0,2,0,0,0,0,0,0,0,0,26,0
Network Outage / Connectivity Issue,7,0,2,2,7,10,35,4,0,1,0,0,0,2,3,12,136,2,2,3,1,5,0,1,1,0,3,11,0
OS / Boot Issue,5,0,1,5,5,8,1,5,0,1,0,0,3,0,0,0,1,189,3,8,2,0,1,1,1,0,9,1,0
Password Reset,2,1,29,3,2,1,0,0,0,2,0,0,0,0,0,15,0,0,176,1,0,0,0,0,18,0,0,0,0
Peripheral / Docking Issue,1,0,0,4,1,3,7,1,0,0,0,2,0,0,3,0,22,0,3,182,0,21,0,0,0,0,0,0,0
Phishing Report,3,0,0,1,2,4,0,1,0,3,0,0,5,3,2,0,20,1,1,3,189,0,2,1,2,5,2,0,0
Printer Issue,1,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,220,5,1,0,0,0,0,0
Security Policy Violation,14,0,12,1,19,14,1,0,0,0,10,0,1,1,7,0,2,0,3,3,1,0,141,0,16,3,1,0,0
Server Down / Service Outage,21,3,4,1,7,27,7,1,1,1,13,0,8,2,6,0,11,2,2,9,4,0,1,72,0,0,46,1,0
Software Installation Request,17,0,2,0,4,30,1,1,0,0,0,0,0,0,3,0,0,1,2,0,0,1,0,0,187,0,1,0,0
Suspicious Login,1,3,2,0,3,1,0,0,0,3,0,0,0,0,0,0,0,1,4,1,2,0,0,0,0,229,0,0,0
VM / Infrastructure Issue,0,0,0,0,3,3,0,12,4,0,1,0,2,0,0,0,7,1,2,0,0,0,0,1,0,0,212,1,1
VPN Issue,16,0,1,2,3,18,2,0,0,2,0,1,4,0,2,26,0,4,2,3,1,0,1,1,9,0,1,146,5
Wi-Fi Connectivity Issue,0,0,7,2,1,1,0,1,0,2,0,0,0,0,0,0,3,1,6,5,0,0,0,2,0,0,2,2,215
