text,category
Cannot connect to office Wi-Fi,Network
WiFi keeps disconnecting in meeting room,Network
Internet is very slow today,Network
VPN not connecting from home,Network
No network access on my laptop,Network
Ethernet connection not working,Network
Network drops when joining video calls,Network
Office WiFi password not working,Network
Cannot access shared drive due to network error,Network
Network connection timed out,Network
Cannot connect to corporate network,Network
WiFi signal is very weak at my desk,Network
Internet drops every few minutes,Network
VPN disconnects after a few seconds,Network
Unable to join office WiFi,Network
Network speed extremely slow on laptop,Network
Getting DNS error when browsing websites,Network
Cannot access internet via Ethernet cable,Network
Office network not available this morning,Network
WiFi authentication failed repeatedly,Network
Network connection unstable during calls,Network
Unable to connect to VPN server,Network
Internet access lost after system restart,Network
Network cable unplugged error appears,Network
WiFi not visible on available networks list,Network
Cannot reach internal websites,Network
Network drops when downloading large files,Network
Internet latency is very high,Network
Office WiFi connected but no internet,Network
VPN stuck at connecting status,Network
Network adapter not detected,Network
Unable to connect to secure WiFi,Network
Internet disconnects when laptop sleeps,Network
Cannot access intranet over network,Network
WiFi keeps reconnecting automatically,Network
Network access blocked unexpectedly,Network
Ethernet shows connected but no access,Network
VPN connection very slow,Network
Unable to obtain IP address,Network
Network error while accessing email,Network
WiFi keeps timing out,Network
Internet unavailable on desktop,Network
Network drops during remote sessions,Network
Cannot connect to network printer,Network
Office WiFi extremely slow in afternoon,Network
VPN login succeeds but no access,Network
Network connection lost randomly,Network
WiFi disconnects after few minutes,Network
Unable to access network resources,Network
Internet not working on one device only,Network
Network issue after recent update,Network
VPN fails on public WiFi,Network
Ethernet adapter keeps disconnecting,Network
Cannot connect to network drive,Network
Office WiFi unavailable in conference room,Network
Internet connection fluctuates constantly,Network
Network timeout when accessing server,Network
VPN client shows network unreachable,Network
Unable to access shared services,Network
Network performance degraded today,Network
Laptop will not turn on,Hardware
Keyboard keys are not working,Hardware
Mouse stopped responding,Hardware
Printer is not printing documents,Hardware
Monitor flickering randomly,Hardware
Computer overheating and shutting down,Hardware
Hard drive making clicking noise,Hardware
Docking station not detecting monitor,Hardware
USB ports not working,Hardware
Laptop battery not charging,Hardware
Laptop shuts down randomly,Hardware
Screen is completely black on startup,Hardware
Keyboard backlight not turning on,Hardware
Touchpad not responding properly,Hardware
External hard drive not detected,Hardware
Fan making loud noise,Hardware
Laptop hinge is loose,Hardware
Power button not working,Hardware
System unit making beeping sound,Hardware
Webcam not working during meetings,Hardware
Microphone not detecting sound,Hardware
Speaker audio distorted,Hardware
Laptop battery drains very fast,Hardware
Charging cable overheating,Hardware
Screen resolution looks blurry,Hardware
Laptop gets very hot while idle,Hardware
USB device not recognized,Hardware
Printer paper jam error,Hardware
Monitor not waking from sleep,Hardware
Second monitor not displaying,Hardware
Keyboard typing wrong characters,Hardware
Mouse cursor jumps randomly,Hardware
Docking station overheating,Hardware
Power adapter not supplying power,Hardware
Computer very slow after boot,Hardware
Hard drive failure warning displayed,Hardware
Laptop vibrates while running,Hardware
Ethernet port damaged,Hardware
Broken laptop screen,Hardware
System fan not spinning,Hardware
Battery percentage stuck,Hardware
Laptop not detecting charger,Hardware
Computer freezes due to overheating,Hardware
Screen brightness cannot be adjusted,Hardware
Keyboard disconnects intermittently,Hardware
Printer showing offline status,Hardware
USB ports loose,Hardware
Monitor color distortion issue,Hardware
Laptop makes buzzing noise,Hardware
External keyboard not working,Hardware
System unit not powering on,Hardware
Power supply failure suspected,Hardware
Display flickers after startup,Hardware
Laptop lid sensor not working,Hardware
Trackpad clicks not registering,Hardware
Overheating warning message appears,Hardware
Printer toner sensor error,Hardware
Battery swelling issue,Hardware
Dock not charging laptop,Hardware
Fan runs at maximum speed constantly,Hardware
Outlook crashes when opening,Software
Excel freezes when opening files,Software
Teams application not loading,Software
Software installation failed,Software
Application shows unknown error,Software
Blue screen error on startup,Software
Software update causing issues,Software
Program not responding after update,Software
Application keeps logging me out,Software
Error message when launching software,Software
Application crashes on startup,Software
Software freezes after login,Software
Program fails to install completely,Software
App stuck on loading screen,Software
Software not responding during use,Software
Application closes unexpectedly,Software
Error code appears when opening app,Software
Software update stuck at 50 percent,Software
Program takes very long to open,Software
Application not compatible with system,Software
Software shows blank screen,Software
Program keeps restarting,Software
Application fails to save changes,Software
Software license not recognized,Software
App crashes after recent update,Software
Program missing required files,Software
Software hangs during file upload,Software
Application cannot connect to server,Software
Program shows configuration error,Software
Software installation requires restart loop,Software
Application permissions error shown,Software
Software update failed with error,Software
App keeps asking for admin rights,Software
Program not launching on double click,Software
Application interface not loading properly,Software
Software freezes system intermittently,Software
App displays incorrect data,Software
Program stuck in infinite loading,Software
Application crashes when importing files,Software
Software cannot open specific documents,Software
App fails during authentication,Software
Program shows unsupported version message,Software
Software update causes app to crash,Software
Application features missing after update,Software
Program consumes too much memory,Software
Software stops responding after idle,Software
App unable to sync data,Software
Program error when exporting files,Software
Application update breaks functionality,Software
Software shows repeated warning messages,Software
Program crashes during login,Software
Application cannot be uninstalled,Software
Software stuck during startup process,Software
App fails to load plugins,Software
Program keeps logging errors,Software
Application not detecting internet,Software
Software installation blocked,Software
App becomes unresponsive randomly,Software
Program fails to open attachments,Software
Application stuck on splash screen,Software
Forgot my account password,Password Reset
Need to reset my login password,Password Reset
Password expired and cannot login,Password Reset
Locked out of my account,Password Reset
Password reset link not working,Password Reset
Cannot remember my system password,Password Reset
Too many failed login attempts,Password Reset
Need password reset urgently,Password Reset
Password change required message appears,Password Reset
Account locked due to password attempts,Password Reset
Unable to reset my password,Password Reset
Password reset page not loading,Password Reset
Reset password email not received,Password Reset
Forgot password for my account,Password Reset
Account locked after password attempts,Password Reset
Password reset process failing,Password Reset
Cannot change my password,Password Reset
Password expired and needs reset,Password Reset
Reset link says it is invalid,Password Reset
Need help unlocking my account,Password Reset
Password reset request not working,Password Reset
Too many login failures locked account,Password Reset
Password reset email expired,Password Reset
Cannot login due to password issue,Password Reset
Account disabled after password failures,Password Reset
Password reset page shows error,Password Reset
Need to unlock user account,Password Reset
Password change not accepted,Password Reset
Reset password link already used,Password Reset
Forgot credentials and cannot login,Password Reset
Password reset required immediately,Password Reset
Account temporarily locked due to password,Password Reset
Password expired message displayed,Password Reset
Unable to complete password reset,Password Reset
Password reset email delayed,Password Reset
Account locked because of failed logins,Password Reset
Cannot access account due to password,Password Reset
Password reset form not submitting,Password Reset
Password change prompt keeps appearing,Password Reset
Password reset confirmation not received,Password Reset
Password reset token invalid,Password Reset
Locked out after incorrect passwords,Password Reset
Forgot system login password,Password Reset
Password reset process stuck,Password Reset
Account locked waiting for password reset,Password Reset
Password reset link opens error page,Password Reset
Need password reset for email account,Password Reset
Password expired cannot access system,Password Reset
Password reset request rejected,Password Reset
Account locked due to security policy,Password Reset
Password reset fails repeatedly,Password Reset
Cannot unlock account after reset,Password Reset
Password reset page times out,Password Reset
Need assistance resetting password,Password Reset
Password reset loop occurs,Password Reset
Password change unsuccessful,Password Reset
Account access blocked due to password,Password Reset
Password reset system unavailable,Password Reset
Password reset confirmation email missing,Password Reset
Unable to authenticate after reset,Password Reset
,
,
Cannot access shared folder,Access
Permission denied error on drive,Access
Do not have access to requested system,Access
Access request for new software,Access
Cannot login to internal portal,Access
Access rights removed unexpectedly,Access
Need access to finance system,Access
User account missing permissions,Access
Unauthorized access error shown,Access
Request access to project files,Access
Access denied when opening shared folder,Access
Permission error accessing network drive,Access
Unable to access internal application,Access
User does not have required permissions,Access
Access request pending approval,Access
Cannot access project workspace,Access
Missing access to shared resources,Access
Access to system revoked unexpectedly,Access
Permission denied for application,Access
Need access to HR system,Access
Unauthorized message when logging in,Access
Access not granted for requested folder,Access
Cannot access database system,Access
User role does not allow access,Access
Access to shared drive removed,Access
Need permission to install software,Access
Access blocked due to policy,Access
Cannot open restricted files,Access
Access request for reporting tool,Access
Permission missing for application usage,Access
Unable to access cloud resources,Access
Access denied to internal website,Access
Need access to customer records,Access
Permissions not applied correctly,Access
Access request still not approved,Access
User cannot access required system,Access
Access issue after role change,Access
Permission denied for shared mailbox,Access
Access rights missing after transfer,Access
Need access to finance reports,Access
Access error when opening files,Access
User account lacks necessary privileges,Access
Access denied to server,Access
Need temporary system access,Access
Cannot access secure application,Access
Access issue with collaboration tool,Access
Permission error after login,Access
Access to files blocked,Access
Need access approval urgently,Access
Access denied despite correct login,Access
User cannot view project files,Access
Permission issue with document library,Access
Access removed without notification,Access
Need access to analytics dashboard,Access
Access error message displayed,Access
Permission denied for internal tool,Access
User missing access group,Access
Cannot access restricted portal,Access
Need access to shared calendar,Access
Access issue with enterprise system,Access
,
